Komentar,Sentimen
Tidak dapat setting lokasi sesuai GPS. selalu kembali lagi ke Gunung sahari Jakarta. Mohon diperbaiki. Terimakasih.,Negatif
Baik,Positif
Habis pembaruan malah gakbisa update lokasi..,Negatif
"Setelah update makin lelet tiap dibuka. Lokasi kenapa selalu gunung sahari jakarta,tidak sesuai dengan setingan lokasi default yg kita pilih sendiri sebelum di update. Kembalikan tampilan apk seperti dahulu",Negatif
"Lokasi yang tertera di bagian cuaca dan gempa bumi sering berubah sendiri padahal GPS di gawai sudah dinyalakan. Meski sudah diubah lokasinya supaya sesuai, tapi lokasi yang sudah diperbaiki malah kembali ke lokasi yang salah. Hal ini bukan cuma 1-2 kali, tapi cukup sering terjadi dan ini cukup mengganggu. Selain itu, kalau ada peringatan gempa bumi sebaiknya juga dimunculkan suaranya di aplikasi, seperti di web inatews bmkg.",Negatif
"apk yang bagus untuk memperkirakan cuaca dan lainnya, Terima kasih BMKG Indonesia ku tercinta sehat selalu negriku👍",Positif
Masih banyak bug nya tolong di perbaiki,Negatif
Nama desa di PT ABC,Netral
Sangat baik,Positif
Good,Positif
"Tolong tambahkan widget, terima kasih 👍",Netral
"Pemilihan lokasi tidak akurat, alamat saya di kepulauan riau, muncul nya malah di gunung sahari selatan, cuaca lagi hujan badai 3 hari 3 malam malam munculnya cuma berawan. Diganti sesuai GPS lokasinya juga tidak bisa",Negatif
Sangat berguna untuk pra ajtivitas outdoor,Positif
Informasi selalu terlambat.,Negatif
mayan,Positif
Kok sering banget ya kesalahan prakiraan cuacanya katanya 85 persen gimana sih kok banyakan salahnya,Negatif
Admin bmkg ini aplikasinya gak bisa di rubah lokasinya udah coba pakai GPS juga gak bisa masih lokasi gunung Sahari Selatan. Padahal udah versi terbaru ini aplikasi. Mohon bisa di cek ulang sama developer aplikasinya min masa gunung Sahari Selatan terus. Memang di lokasi itu ada apa sih min?,Negatif
"Sejak diperbaharui info cuacanya tidak update. Saya di Bekasi walau masuk wilayah jabar tapi saya butuh daerah jabodetabek seperti sebelum di update. Sekarang info cuacanya daerah jabar yang jauh dari Bekasi. Bogor masih jabar tapi udah gak pernah ada lagi, sesama Bekasi juga ga ada update an cuacanya hujan atau enggak. Bagusan yang versi sebelum diperbaharui jadi kalau saya mau jalan ke daerah Jabodetabek selalu siap sedia kalau memang berpotensi hujan.",Negatif
"bagus sih ada info gempa, tp delaynya 1 jam, udah di refresh blum jg ada peringatan. ga kaya negaranya kakek SUGIONO.",Netral
aku harap operasional tim bmkg bisa updet sistem dengan cara cepet updet kalau ada gempa. atau bisa sebelum gempa ada info. jangan 5 menit setelah gempa baru updet udah ketimpa bangunan baru ada info jadinya ga bisa antisipasi. semoga kedepannya bmkg bisa,Netral
lumayanan,Positif
Setelah update gpsnya jadi ngawur ga akurat lagi. Nyasar ke daerah antah berantah tidak mau berganti ke lokasi realtime,Negatif
"SUDAH 2 MIGGU PRAKIRAANNYA SALAH, DI TEMPATKU CERAH MATAHARI PANAS PAS BUKA APLIKASI HUJAN LEBAT, GILIRAN TEMPAT KU HUJAN LEBAT MALAH DI APLIKASI CERAH BERAWAN. INI YG NGACO SATELIT NYA APA GIMANA ?. APLIKASI CUACA ACCUWEATHER, JUSTRU LEBIH AKURAT 🥱🥱. UDAH GITU NOTIFIKASI PERINGATAN DINI GAK MUNCUL, CUMA NOTIFIKASI GEMPA DOANG YG MUNCUL DI BAR NOTIFIKASI, PADAHAL PENGATURAN SUDAH DI AKTIFIN... HADEHHHH.",Negatif
Lokasi via GPS tidak akurat,Negatif
"Amat sangat bagus untuk masyarakat dan bangsa, semangat !",Positif
Info kejadian lambat terupdate ...,Negatif
Sangat up to date & membantu,Positif
Aplikasi ini g update kondisi gempa hari ini 8 Januari 2025 gempa jam 2 pagi g ada peringatan apa²...apalagi mau nunjukin gede gempa 😡,Negatif
Sangat membantu dalam mencari info gempa,Positif
Terkadang tidak akurat info cuaca nya,Negatif
"Alhamdulillah aplikasinya sudah normal setelah saya hapus kemudian saya download lagi, sekarang update sampai tingkat kelurahan.",Positif
meleset terus,Negatif
Mengapa lokasi asal tempat tinggal tidak muncul di aplikasi?,Negatif
Memuaskan,Positif
"Setelah update, pencariannya berdasarkan desa desa,jadi agak bingung dan ada yg tidak ada yg dicari 🥲 sebelum kyk gini masyaAllah akurat banget andalan utk cek cuaca sebelum berpergian",Negatif
Aplikasinya bagus terus diperbarui lagi,Positif
cuaca ga bisa otomatis ngikutin dimana kita berada,Negatif
Dah tutup aplikasinya. Prakiraan kok mleset terus. Bikin rugi orang usaha.,Negatif
Aplikasi nya lemot sekarang gak update,Negatif
"Tidak akurat, di aplikasi tertera Cerah berawan namun nyatanya hujan Lebat🤣",Negatif
Ufdate gempanya terlalu lama 4-10 menit setelah kejadian,Negatif
Apa ini aplikasi cuacanya kok sering eror,Negatif
Prediksi ombak tidak akurat,Negatif
Aplikasi ini sangat membantu dan mempermudah pengguna,Positif
"Maaf sebelum nya, sebenarnya sudah bagus tp sekedar kasih saran GPS nya tlg akuratin biar tepat sasaran. Terima kasih",Netral
Membantu,Positif
"Lokasi tidak akurat, padahal GPS aktif. Sudah diketik manual bisa. Kalo keluar aplikasi harus ketik lokasi lagi.",Negatif
"Kenapa Radar Cuaca Susah Di Buka Ya, Tolong Penjelasan Nya",Negatif
Mantap,Positif
"Bagusan versi sebelum nyaa hari dan waktu nyaa berurut di aplikasi, klo yang skrg mah dari selasa masa setelah nyaa udah langsung sabtu aja, semoga bisa diperbaiki",Negatif
Masa wilayaku enggak ada ?,Negatif
"Semenjak update terbaru, lokasinya jadi error dpt gunung sahari terus, padahal saya tinggal di Jakarta, mau pilih lokasi manual pun tetap ke gunung sahari terus... Tolong update yang beneran.",Negatif
Sebenarnya sangat membantu tapi kenapaya akhir akhir ini saya tidak bisa membuka terkendala lokasi,Negatif
BMKG buatlah video cara mengatasi gempa besar agar orang orang agar mengetahui teknologi informasi tentang gempa,Netral
"Tidak lengkap, kalau mau ngecek potensi2 seperti banjir harus bentuk link lain lagi",Negatif
infoBMKG update,Netral
"Setelah di update. Lokasinya gabisa diganti. Udah diganti ke lokasi saya, malah kembali ke lokasi Gunung Sahari Selatan.",Negatif
Saya suka aplikasi ini penting untuk mengetahui informasi tentang cuaca dan bencana alam,Positif
"Habis diupdate malah lokasinya Gunung Sahari terus padahal sudah dipilih gunakan GPS tetep aja gak ngaruh. Tolong diperbaiki, malah lebih akurat app bawaan hp.",Negatif
7 7aa ar6 rute werrorww,Netral
Keren slalu,Positif
Sangat membantu....,Positif
"Sejak di-update jadinya selalu lokasi gunung Sahari selatan, so baddd",Negatif
"Mohon dicek kembali ttg akurasi lokasi. Sudah saya on kan GPS tracker dan sudah request update lokasi, tapi kenapa lokasi tetap tidak akurat???? Tahun baru bisa panen bintang 1 kalau ga berubah.",Negatif
"Buat semua yang lokasi GPS nya error setelah di update, coba di uninstal dulu terus intal lagi, nanti pilih lokasi dari awal lagi baru bener lokasi GPS nya",Negatif
"Akan lebih berguna buat masyarakat, tambahkan widget Live Radar awan",Netral
Mantap,Positif
Gps ngaco setelah update ganti daerah gk bisa,Negatif
saat ini lokasi gps ngaco.. sebelumnya baik2 saja.. tolong segera diperbaiki..,Negatif
Bismillah berkah,Positif
"Aplikasi setelah saya perbarui gps gak bisa ,citra satelit gak bisa..ngebug",Negatif
"Saat ini pas buka info bmkg kok munculnya wilayah gunung sahari jakarta pusat ya, tdk tmt tinggal kita",Negatif
Sangat membantu.,Positif
"Ada masalah terkait penentuan lokasi cuaca menggunakan GPS kurang akurat, mhon bantuan nya",Negatif
sehabis update malah beberapa lokasi tidak ditemukan untuk prakiraan cuaca,Negatif
Lokasi GPS tidak akurat. Dan GPS selalu not found. Padahal sebelumnya tidak pernah mengalami masalah ini. Tolong diperbaiki.,Negatif
"Sejak update, lokasinya tdk prnh sesuai, sy di makassar, tp lokasi di gunung sahari, walaupun gps diperbaharui, tetap sama lokasinya tdk sesuai.",Negatif
Kenapa bmkg ga bisa kebuka ya aplikasinya?,Negatif
Empat dulu ya. Soalnya aku baru download.🤭,Positif
Jadi tempat referency untuk cuaca dan info tentang gempa yg selalu uptodate..,Positif
"Untuk versi terbaru saya kasih bintang 2,,buka aplikasi berat,gps ngaco,ganti lokasi gak bisa,citra satelit gak bisa diliat..pokoknya jelek banget yang versi terbaru",Negatif
Menjadi manusia yang bertaqwa kepada Allah SWT adalah yang terbaik. In Sha Allah 🇮🇩,Netral
"habis diperbaharui malah ngebug, masa menampilkan cuaca jakarta walau diubah",Negatif
"Perkiraan cuacanya lumayan akurat, tapi sayang, gk ada tampilan widgetnya, adain min ya biar tampilan kerenn😁 tolong adain widget nya 😿",Netral
Sangat bagus,Positif
Mohon menambahkan laman pengamatan suhu di Antarktica. Terminal dan pelabuhan perlu memiliki transmisi jaringan informasi suhu terhubung pada ponsel sopir atau terpasang pada papan digital berjalan tanpa mengganggu badan bus juga kapal layar. Suhu tinggi dengan penurunan suhu rendah cepat mencapai kira 27 °C atau mendekati kabut perlu ada pesan khusus pada berbagai tempat. Mungkin sopir menjadi terbagi fokus maka perlu muncul sirine pada perangkat atau media terdekat tanpa membuat kejut sopir,Netral
Mau cek lokasi di cuaca susah dan mutar-mutar saja. Tidak muncul opsi kelurahan atau desanya. Tolong di perbaiki min.,Negatif
Ok,Positif
Pilih lokasi pake gps gag bisa..bisa🫤,Negatif
"Setelah update ke yang terbaru, lokasinya selalu gunung sahari meskipun kita sudah mengaktifkan lokasi pada hp jadi selalu mengatur lokasi setiap membuka aplikasi",Negatif
Good,Positif
Bagus,Positif
lnfo BMKG,Netral
akses lokasi gps tidak bisa digunakan dalam penetuan lokasi saat ini,Negatif
Sangat akurat bisa dipakai untuk prepare saat ingin bepergian,Positif
Bagusss,Positif
"Habis upgrade malah gak akurat cuacanya, muncul gunung sahari. Diubah kelokasi saya cuacanya gak sama. Hujan angin kencang, malah kebaca cuacanya berawan. Gimana se ini, malah gak ngebantu sama sekali.",Negatif
"maaf kenapa menu radar sekarang ada tulisannya eror terus,, mohon diperbaiki,,soal lainnya sudah cukup baik,, terimakasih",Negatif
Fitur gps nya gak berfungsi,Negatif
Sangat membantu,Positif
Afk in memang joss,Positif
Ok,Positif
Membantu membaca kondisi terbaru gempa,Positif
Habis di update mlah lokasi jd ngak jelas tolomg di perbaiki,Negatif
"Sebelum di Update langsung bisa mengupdate Cuaca dari Saya tinggal, Setelah di Update posisi nya Tetap Gunung Sahari Jakarta, Aplikasi ini untuk orang Jakarta Gunung Sahari atau Indonesia? Aplikasi BMKG nya tambah ruwet .",Negatif
Bagus,Positif
"Tolong diperbaiki. Kenapa punya saya setelah diupdate, ganti lokasi ngga bisa, pake gps jg ngga bisa. Citra satelit jg ngga bisa dibuka. Pdhl sinyalnya bagus.. Mohon perhatiannya. Terima kasih.",Negatif
"Setelah update malah gajelas infonya, lokasinya pun tdk akurat, yang ditampilin malah info di lokasi jabodetabek, padahal saya di sulawesi😭 Gk banget deh pokoknya😭🙏🏻",Negatif
Oke,Positif
Update terakhir aplikasi gk bisa ada peringatan kondisi cuaca extrim didaerah sekitar...,Negatif
Ga akurat,Negatif
Can't fetch location gajelas gitu melulu wkwkwk aneh emang padahal lokasi GPS-nya udh di nyalain,Negatif
Setelah di update bukan jadi tambah bagus malah ngebug gajelas.,Negatif
Habis diupdate malah gps gak terdeteksi. Selalu muncul lokasi jabotebek. Ya udah tak tunggu 3 hari kalo masih gini langsung uninstall aja.,Negatif
Oke,Positif
Aplikasi yang bermanfaat,Positif
Aplikasinya bagus!,Positif
Sangat bermafaat dan tepat,Positif
"Bagus buat liat update cepet, tp entah tiba2 lokasi ku jd pindah ke jawa barat, pdhl aq di DIY. Disetting cari lokasi g bisa, gmna dong ini?",Negatif
"Lokasi tidak bisa di permanenkan, walaupun sudah di ganti lokasi,ttp kembali ke pengaturan default, lokasi jakarta. Sebagai petani di daerah sangat kecewa dgn update ini",Negatif
"Koq setelah diupdate malah makin jelek, peringatan dini cuaca harus aktifin gps lokasi, padahal sebelumnya tdk bgitu, skrg hanya pringatan tdk update, mlh jarang ada notifikasinya, kcuali gempa",Negatif
"Lokasi salah, hasil prakiraan jadi tidak akurat. Mohon diperbaiki",Negatif
"Payah, setelah di update lokasinya di gunung sahari selatan terus, tidak bisa ngedete detect lokasi real time",Negatif
"Di update bukannya makin bagus malah ngawur, ga bisa dirubah ke lokasi yang sesuai, gps ga bisa .. balik lagi ke gunung sahari 🥲",Negatif
Sangat penting mengenai informasi cuaca di wilayah indonesia dan sekitarnya..,Positif
Terimakasih sudah memberikan info yang terbaik untuk masyarakat Indonesia,Positif
Sudah semakin akurat,Positif
"Kenapa prakiraan cuaca di daerah saya malah di daerah gunung Sahari di kawasan daerah Jabodetabek, tolong segera diperbaiki sistemnya.",Negatif
"Gak bisa pindah lokasi, gunung sahari selatan terus",Negatif
"Ngebug, sudah stel lokasi di wilayah Jayapura,Papua malah lokasinya gunung Sahari Selatan",Negatif
Setelah diupdate malah titik lokasi di Gunung Sahari Selatan terus tolong segera diperbaiki,Negatif
Waktu belum di update lokasi ny sesuai tapi kenapa pas di update lokasi ny di gunung Sahari udh di coba ganti pakai GPS dan manual masih aj di gunung Sahari lokasi saya di Sumatra Selatan mohon di perbaiki lagi 🙏🙏🙏,Negatif
Setelah update terakhir 14 des. Menu cuaca gak otomatis gps nya. Selalu berada di gunung sahari jakarta. Mohon segera di perbaiki.,Negatif
Baik dan mudah mengetahui,Positif
Bagus,Positif
Location di berandanya tidak bisa diganti,Negatif
"Bagus dan akurat. Cuma update terbaru, gk bisa deteksi gps dengan akurat. Dan pencarian lokasi, lebih mudah yang dulu, yang hanya tingkat kecamatan.",Netral
begitu di update malah eror,Negatif
"Baru aja diupdate...lokasi malah pindah ke jakarta,udah diubah...nanti kalo buka lagi balik ke jakarta gunung sahari...",Negatif
Di-update malah GPS nya kacau... Aku di Jogja kenaknya di Jakarta Untuk mencari kelurahan tidak ditemukan... Dulu pakai kecamatan malah akurat,Negatif
Ini kenapa jadi di gunung Sahari terus ya lokasinya? Berulangkali di-set tetep munculnya gunung Sahari,Negatif
setelah update jadi ga bisa GPS nya...jadi ga dapet peringatan dini cuaca dilokasi saya pdhal sbelum update masih bisa..,Negatif
"Di update jadi kurang, tolong kembalikan seperti sebelumnya, terimakasih",Negatif
Setelah update aplikasi tidak bisa di setting sesuai lokasi device,Negatif
Tolonglah bagi tim IT BMKG utk sering2 cek aplikasinya. Biar cepat ambil tindakan klo ada trouble. GPS ngaco. Masa lokasi sy didepok tp titik GPS di JKT. Aplikasi jg ga bisa dibuka & connection failed.,Negatif
ada fitur cek pasang surut air sungai/laut terdekat kah min... Mohon infonya..,Netral
"Aplikasi nya nge-bug, saya ganti lokasi kok tetep aja gunung sahari selatan",Negatif
Sebelum kerja pasti liat BMKG apalagi kalo lagi musim ujan wakakakak. GO SCIENCE GOOO,Positif
Error cuaca bukan di daerah pengguna,Negatif
Bmkg memang hebat dn oky,Positif
Sangat membantu,Positif
Mengapa Saat dibuka pertama kali GPS tidak mendeteksi tempat tinggal saya.. Malah nyasar ke daerah perairan Afrika.. Mohon Segera Diperbaiki.. Kemarin Sebelum Diperbarui aplikasinya baik2 saja.. Ini setelah diperbarui aplikasinya sangat ngaco..,Negatif
Setelah diupdate posisi kelurahan/desa selalu gunung sahari selatan.. msh ada bugs udah production,Negatif
Sangat membantu dalam mencari informasi terkait keadaan alam,Positif
Sangat membantu,Positif
"Bagus dan akurat 100% dlm mendeteksi cuaca,tapi Informasi nya sedikit lbih lama",Positif
Sangat bermanfaat,Positif
Dg ada nya impo BMKG masarakat bisa lebih waspada terhadap apa yg terjadi tentang penomena alam,Positif
Baru,Netral
Cukup akurat,Positif
"review alhir 2024, setelah diupdate cuaca per kelurahan blm stabil. ganti lokasinya blm bisa berubah . . peringatan dini cuaca gak bisa pilih provinsi",Negatif
"Maaf terpaksa saya turunin bintang nya,karena setelah update jaringan nya sering lambat drpd sebelumnya,sudah tidak ada memo peringatan dini,",Negatif
Dapat di percaya,Positif
Informasi yang membuat orang berpikir sedia payung sebelum hujan,Positif
"Bagus,bermanfaat tetapi tidak ada sinyal peringatan jika lokasi pemakai apk akn terkena gempa",Positif
👍,Positif
16 Desember 2024 masih ada bug di menu Gempabumi Real-time yang menunjukkan lokasi USER berada di Gunung Sahari Selatan dan dengan jarak belasan ribu kilometer,Negatif
Sangat informatif. Terima kasih,Positif
Tolong tampilkan notifikasi potensi tsunami atau tidak,Netral
Bagus dan sangat membantu untuk mengetahui keadaan cuaca dan bencana,Positif
"Dengan disiarkannya secara global, maka kami masyarakat yang tinggal disekitaran pantai dapat segera mengetahui bahaya yang akan terjadi apakah itu gempa bumi angin topan gelombang tinggi sehingga kami selalu waspada dan berhati-hati. Terimakasih kepada semua pihak yang telah berupaya terutama BMKG.",Positif
Ingormasi penting sangat di perlukan Makasih,Positif
Bang Squadzone...are u there?,Netral
"Mengapa setelah di update jadi tidak bisa lihat cuaca di wilayah saya,malah Jabodetabek yg muncul, di setting juga tetap nggak bisa....",Negatif
Setelah di update jadi kurang akurat,Negatif
Terbaik dan konsiaten,Positif
infony update👍,Positif
Good job,Positif
"Terima kasih BMKG atas informasinya perihal cuaca dalam keseharian. Kami bekerja sebagai buruh di perkebunan kelapa sawit,yang sangat membutuhkan informasi cuaca.",Positif
tlg diperbaiki ada bug setelah pilih lokasi tetap pada seting default bug setelah update,Negatif
"Aduh bmkg, saya barusan kena gempa, tp liat apk nya kok ngga bisa langsung laporan gempanya. Saya berharap notifikasi gempanya bisa real time. Thx",Negatif
Hujan ringan,Netral
"DI UPDATE MALAH NGEBUG GABISA GANTI LOKASI, BUG GUNUNG SAHARI MULU",Negatif
Semua info dr bmkg sangat membantu dr,Positif
"sangat membantu bagi saya, apa lg seperti saya yng krja di laut",Positif
Aplikasinya setelah di-update tidak dapat berubah lokasinya hanya wilayah gunung sehari selatan,Negatif
Mantap,Positif
"nyesel update aplikasinya, krn g otomatis mendeteksi lokasi sy, cb setting manual dg pilih desa tetap sj tdk update sesuai lokasi pilihan",Negatif
"Aplikasi bagus, sangat membantu saya dalam melihat kondisi cuaca di daerah bila saya dalam perjalanan utk persiapan",Positif
Setelah update yang baru malah eror. Informasi cuaca gak sesuai dengan yang terjadi. Aplikasi sekelas pemerintah kok gini amat. Malah aplikasi cuaca bawaan lebih akurat haiisss,Negatif
"Kenapa setelah update aplikasi ini, kok jadi bukan kondisi cuaca di tempat pengguna aplikasi masing-masing malah jadi Gunung Sahari Selatan? Tolong ya di perbaiki lagi agar tidak terjadi bintang satu!",Negatif
Sudah di setting daerah saya kenapa kembali ke gunung Sahari Jakarta,Negatif
ok,Positif
Sangat membantu dalam prediksi cuaca dan informasi gempa,Positif
"Setelah aplikasi diupdate, informasi yang ditampilkan menjadi aneh. Tetapi setelab diinstal ulang, bisa normal lagi.",Negatif
Keren min aplikasinya. Prakiraan cuaca sangat membantu untuk yg suka bepergian. Jadi bisa lebih prepare. Mungkin kedepannya bisa dibuatkan widget yg bisa diletakkan di homescreen untuk mempermudah pengecekan cuaca. 😁,Positif
Mantaplah dengan info update cuaca,Positif
Masih kurang desa/kelurahan di gabus Pati Jawa Tengah Indonesia,Negatif
Kurang ngerti updatenya yg baru,Negatif
Sangat membantu dalam pelayaran,Positif
Aplikasi ini benar-benar bagus. Walaupun terkadang meleset. Tapi sejauh ini perkiraan cuacanya sama,Positif
"Sangat membantu, meskipun kadang tidak akurat",Positif
Aplikasinya keren,Positif
bug di lokasi cuaca pakai GPS kurang tepat...,Negatif
"kecewa, di update malah ngebug tata letak berantakan dan gambar biasanya terdisplay di depan menghilang, tulisan tertutupi layer yg salah letak... tolong perbaiki",Negatif
Selalu tampil setiap dibutuhkan.,Positif
Ok,Positif
"Kalau bisa (A) Hujan diuraikan : 1) Hujan Panas, 2) Hujan Angin, 3) Hujan Petir, 4) Hujan Gerimis (B) Kabut diuraikan : 1) Kabut Asap, 2) Kabut Embun, 3) Kabut Tebal. Perbaiki untuk upgrade berikutnya",Netral
Informasinya sangat membantu.,Positif
"Ternyata perlu uninstall baru bisa berfungsi dengan baik, sebelum nya setelah update GPS nya tidak berfungsi dan pengaturan lokasi selalu gagal singkron dengan daerah yg di masukan",Positif
"aplikasi setelah diupdate, malah error, ubtuk melihat citra satelit tidak bisa, terus untuk lokasi selalu di daerah tanggerang atau daerah jakarta. mohon diperbaiki lagi aplikasinya",Negatif
setelah di update malah lokasi lag.. kocak..,Negatif
"Begitu di instal lokasi gx bisa masuk cuma muter2 doang, maaf baru kasih bintang satu baru di coba tp gagal...🙏🙏🙏",Negatif
Sangat bagus... coba dong animasi radarnya seperti MSN cuaca milik windows .radrnya animasi hujan nya bagus.. pengen radar hujan BMKG kayak tadar MSN cuaca..,Positif
Mantab,Positif
Bagus sebelumnya Punya saya tersetting wilayah gunung sahari selatan tidak bisa diubah walaupun gps diaktifkan Maaf saya uninstall,Negatif
cjkup baik memberinformasih tepat.,Positif
"Sayang sekali aplikasinya di buka sangat berat, loadingnya lama buat masuk interface awal. Semoga dapat diperbaiki lagi. Saran, agar lebih menarik tambahkan fitur widget min, krn saya kira udah lengkap infonya tinggal kembangin lagi",Negatif
Habis diperbatui malah ngebug. Gk bs dibuka 🤦‍♀️,Negatif
Aplikasi yang sangat berguna,Positif
Masih sering kurang pas prakiraan nya,Negatif
💯💯💯,Positif
"Baru di perbarui kenapa susah pencarian lokasi tempat kita tinggal tidak di temukan, dan mohon maaf saya kasih 1 bintang",Negatif
Bagus,Positif
Notifnya masih lebih cepat info gempa di aplikasi media sosial. Smoga dperbaiki.,Negatif
Aplikasi ini semakin informatif rasanya 😆,Positif
"Turunin hujan napa, Ini bekasi,Tiap mendung ge, Angin mulu.",Netral
Aldifebry,Netral
Lol banyak bug cuaca kw lol,Negatif
Sangat membantu,Positif
Info cuacanya membantu,Positif
Untuk info radar kok eror /tidak bisa di akses/ gangguan.,Negatif
"Aplikasi sudah bagus, tapi saat pertama buka lama sekali.",Positif
"Apk udah bagus,cuma kenapa ada gempa di provinsi saya sendiri tidak terdeteksi,mohon di bantu dan d perbaiki lagi,supaya kinerja Jadi lebih bagus lagi",Netral
"Setelah di update versinya justru kurang memuaskan, dari fiturnya, dan terutama keakuratan data maritimnya juga sangat jauh melenceng.",Negatif
Apk nya sangat berguna dan membantu,Positif
Sangat membantu,Positif
Kurang akurat di tempatku hujan lebat disertai angin 30menit tapi lihat di aplikasi sama sekali tidak ada petunjuk pantauan satelit awan atau hujan.,Negatif
"Daerah saya gempa sudah setengah jam yang lalu, tapi belum ada catatan dalam list aplikasi ini, berarti tidak cepat update dong",Negatif
"Agak lambat infonya..berbahaya kl potensi tsunami.udah pada mati,baru keluar info.",Negatif
Oke,Positif
Good Job,Positif
"1. Notifnya sudah nyala untuk gempa, tapi untuk Peringatan Dini Cuaca masih telat telat. 2. Tolong itu radar yang Yogyakarta kenapa tidak tampak normal? Surabaya juga mati. 3. Partisipasi pemilihan cuaca sebaiknya bisa memilih lebih dari 1 kejadian.",Negatif
"Untuk Radar tidak bisa dibuka, padahal sangat membantu kalau normal, mohon segera diperbaiki",Negatif
Youtube,Netral
Informasinya yang sangat cepat,Positif
Lokal,Netral
Cocok untuk mengetahui cucca,Positif
"Sekarang jdi kudet, gempa udh dirasakan tapi blum muncul notifikasi.",Negatif
Tidak akurat sedikitpun,Negatif
Bagus,Positif
Semoga BMKG selalu menjadi Hal yang paling Informatif bagi seluruh Masyarakat Indonesia. 🙏🙌,Positif
baik,Positif
cukup akurat☁️☁️☁️,Positif
"Masih kurang, di aplikasi cerah padahal lagi hujan lebat. Begitu sebaliknya. Tolong di perbaiki",Negatif
Lebih akurat aplikasi bawaan hape saya🤣,Negatif
Lengkap,Positif
"Aplikasinya sudah bagus, tapi lebih bagus lagi dibikin juga dong widget nya",Positif
"Aplikasinya kurang memprediksi cuaca, saya sangat kecewa atas hal ini.",Negatif
"Prediksi cuaca ga pernah akurat, BMKG bagaimana iniiiii?",Negatif
Aplikasinya sangat bagus sekali dan cocok untuk melihat ramalan cuaca di Jawa Timur.,Positif
Apk nya bagus dan sangat membantu sekali,Positif
"Prediksi cuaca 100% gk ada yang akurat, 🤣 aplikasi bodong.",Negatif
Terbaik,Positif
Ok,Positif
"Mohon maaf BMKG sebelumnya, bahwa di radar untuk Daerah Istimewa Yogyakarta itu masih bermasalah hanya berhenti di jam 12.53 saja dari tanggal 23 Nov 2024 setelahnya atau jam berikutnya tidak ada lagi mohon di perbaiki Terimakasih",Negatif
masih kurang akurat,Negatif
Sekarang melihat radar awan kok gak bisa,Negatif
Ok,Positif
mantap,Positif
Aplikasi ini sangat membantu untuk melihat cuaca di sekitar...,Positif
"Ramalan BMKG gk akurat masalah cuaca, di aplikasi hujan lebat Disini gk hujan mallahh panas cuaca nya perbaiki lg ke akuratan nya",Negatif
knpa gag bisa di buka,Negatif
gk update dan gk Akurat🥲,Negatif
Ok,Positif
"Terus sempurnakan lagi ya bmkg, saya suka ke akuratan cuaca dari estimasi sampai kapan turun hujan..",Netral
Pokoknya mantap,Positif
Hak bisa dibuka.. Error..,Negatif
semoga akurat,Netral
Sangat membantu untuk mengetahui cuaca hujan,Positif
Ok,Positif
Bgus,Positif
"Aplikasi sangat membantu, tapi sayang.a daerah srby dan sekitar tidak terjangkau sampai saat mungkin dari pihak aplikasi segera selesaikan karena apk ini sangat membantu bagi orang"" yg suka perjalanan jauh 🙏",Netral
sangat membantu,Positif
Kami meŕasa terbantu dlm keadaan dan kondisi alam yang terjadi.kaml bs melakukan upaya apa yg harus supaya aman. Terima kasih.!!,Positif
Sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di Indonesia jdi lebi waspada krn ada notif yg di informasikan,Positif
Ut cuaca cukup akurat,Positif
Kenapa saya kasih bintang empat 🌟🌟🌟🌟 Karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat 🌟🌟🌟🌟,Netral
Biasa,Netral
Mantap,Positif
Untuk informasi kualitas udara mohon diperluas lagi.khususnya daerah yang sering terjadi kebakaran hutan.untuk tampilan cuaca mohon dilengkapi lagi seperti aplikasi-aplikasi lain.,Netral
Sangat bermanfaat,Positif
"BMKG handal, Demi Indonesia, Sukses selalu...Aamiin🤲",Positif
"Min, kalok prediksi cuaca yg bener dong, katanya bakal ujan tpi gak ujan2 nih daerah denpasar Php lu min",Negatif
"Aplikasinya cukup bagus. Cuma sedikit saran aja. D bagian info cuaca, pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna. Tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada. Sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu. Misal berawan, hujan ringan, angin kencang. Jadi mungkin bisa d buat pengguna dapat memilih lebih dari 1 fenomena cuaca. Terimakasih, semoga BMKG kita semakin maju ya",Positif
aplikasi ini bisa mendeteksi gempa,Netral
A.S,Netral
",👍",Positif
"Untuk keseluruhan, sudah bagus. Saran saya tambah mode gelap ke aplikasi ini.",Positif
Cukup bagusss,Positif
Cukup bagus,Positif
ok,Positif
Bagus.twrima kasih atas INFONYA,Positif
خزغة٥ م،، ٥زع,Netral
Cuaca Terbaik 😇,Positif
Aplikasi nya sangat informatif dan membantu,Positif
sangat membantu sekali pada setiap kondisi.,Positif
Ok,Positif
"Selalu mengikuti,untuk mendapatkan info terkini tentamg fenomena iklim",Positif
